GeneSymbol,T.8Nve #1,T.8Nve#2
A1BG,34,27
A1BG-AS1,35,65
A1CF,0,0
A2M,32,54
A2M-AS1,16,7
A2ML1,0,0
A2ML1-AS1,0,0
A2ML1-AS2,0,0
A2MP1,3,4
A3GALT2,0,0
A4GALT,0,0
A4GNT,0,0
AAAS,288,383
AACS,83,132
AACSP1,1,0
AADAC,0,0
AADACL2,2,1
AADACL2-AS1,0,2
AADACL3,0,0
AADACL4,0,0
AADACP1,0,0
AADAT,0,0
AAGAB,195,274
AAK1,1141,1320
AAMDC,18,40
AAMP,489,469
AANAT,0,1
AAR2,251,222
AARD,1,0
AARS1,285,330
AARS1P1,0,0
AARS2,177,164
AARSD1,23,35
AASDH,122,86
AASDHPPT,222,205
AASS,107,51
AATBC,26,10
AATF,240,422
AATK,3,5
ABALON,3,3
ABAT,34,21
ABBA01000933.1,0,0
ABBA01000935.2,0,0
ABBA01006766.1,0,0
ABBA01031669.1,0,0
ABBA01045074.1,0,0
ABBA01045074.2,0,0
ABCA1,7,7
ABCA10,1,10
ABCA11P,4,5
ABCA12,3,0
ABCA13,3,0
ABCA17P,9,4
ABCA2,144,393
ABCA3,35,23
ABCA4,0,1
ABCA5,139,120
ABCA6,7,0
ABCA7,569,617
ABCA8,1,0
ABCA9,3,0
ABCA9-AS1,0,1
ABCB1,82,194
ABCB10,22,34
ABCB10P1,0,0
ABCB10P3,0,0
ABCB10P4,0,0
ABCB11,4,0
ABCB4,0,0
ABCB5,0,0
ABCB6,22,16
ABCB7,160,231
ABCB8,144,214
ABCB9,19,3
ABCC1,137,169
ABCC10,264,247
ABCC11,0,1
ABCC12,0,0
ABCC13,1,0
ABCC2,38,13
ABCC3,5,0
ABCC4,26,67
ABCC5,127,170
ABCC5-AS1,0,0
ABCC6,6,9
ABCC6P1,0,1
ABCC6P2,0,0
ABCC8,5,3
ABCC9,4,0
ABCD1,10,40
ABCD1P2,0,1
ABCD1P3,0,0
ABCD1P4,0,0
ABCD1P5,0,0
ABCD2,163,196
ABCD3,95,166
ABCD4,445,461
ABCE1,297,294
ABCF1,258,402
ABCF2,246,321
ABCF2P1,0,0
ABCF2P2,0,0
ABCF3,257,241
ABCG1,37,71
ABCG2,0,1
ABCG4,0,1
ABCG5,0,1
ABCG8,16,15
ABHD1,19,26
ABHD10,124,165
ABHD11,25,48
ABHD11-AS1,0,3
