gene_symbol,T8.M.Sp#1,T8.M.Sp#2,T8.M.Sp#3
0610005C13Rik,0,0,1
0610006L08Rik,0,0,0
0610009B22Rik,25,46,9
0610009E02Rik,2,1,0
0610009L18Rik,6,2,0
0610009O20Rik,69,158,67
0610010F05Rik,25,48,13
0610010K14Rik,10,20,9
0610012D04Rik,5,6,2
0610012G03Rik,129,149,68
0610025J13Rik,0,0,0
0610030E20Rik,268,395,192
0610031O16Rik,0,0,0
0610033M10Rik,0,0,0
0610037L13Rik,170,393,140
0610038B21Rik,1,14,6
0610039K10Rik,0,0,0
0610040B10Rik,2,4,2
0610040F04Rik,0,1,0
0610040J01Rik,1,0,0
0610043K17Rik,4,8,5
1010001B22Rik,0,2,0
1010001N08Rik,0,0,0
1110002E22Rik,0,2,0
1110002J07Rik,0,0,1
1110002L01Rik,21,36,32
1110002O04Rik,0,0,0
1110003F10Rik,3,9,2
1110004E09Rik,64,134,52
1110004F10Rik,359,549,281
1110006O24Rik,7,4,2
1110008E08Rik,0,0,0
1110008F13Rik,33,67,26
1110008L16Rik,50,99,44
1110008P14Rik,40,61,24
1110012L19Rik,36,84,29
1110015O18Rik,0,0,0
1110017D15Rik,0,0,0
1110018N20Rik,0,0,0
1110019B22Rik,0,0,0
1110019D14Rik,0,3,5
1110020A21Rik,10,4,3
1110025L11Rik,0,0,0
1110025M09Rik,0,2,2
1110028F11Rik,0,0,1
1110028F18Rik,0,0,0
1110032A03Rik,29,38,27
1110032F04Rik,1,0,0
1110034G24Rik,83,182,95
1110035H17Rik,0,3,0
1110036E04Rik,0,0,0
1110038B12Rik,80,137,66
1110038F14Rik,93,156,64
1110046J04Rik,2,9,0
1110051M20Rik,31,46,25
1110057P08Rik,0,0,0
1110059E24Rik,70,204,100
1110059G10Rik,75,129,47
1110060G06Rik,0,0,0
1110065P20Rik,0,2,2
1190001M18Rik,0,0,0
1190002N15Rik,19,49,28
1190005I06Rik,0,0,0
1190007I07Rik,33,36,33
1190028D05Rik,0,0,0
1200007C13Rik,0,0,0
1300002E11Rik,94,143,80
1300014J16Rik,17,67,17
1300017J02Rik,0,0,0
1500002C15Rik,7,39,10
1500002F19Rik,3,1,0
1500004A13Rik,17,35,17
1500005C15Rik,0,0,0
1500009C09Rik,0,0,0
1500009L16Rik,1,46,0
1500011B03Rik,99,87,57
1500011K16Rik,52,42,18
1500012K07Rik,0,1,0
1500015A07Rik,44,76,85
1500015L24Rik,0,0,0
1500015O10Rik,0,5,3
1500026H17Rik,1,0,0
1500035N22Rik,1,5,2
1520401A03Rik,0,2,0
1600002D24Rik,0,0,0
1600002K03Rik,61,65,26
1600010M07Rik,0,1,0
1600012H06Rik,190,280,155
1600012P17Rik,0,0,0
1600014C10Rik,326,665,246
1600014C23Rik,0,0,0
1600015I10Rik,0,0,0
1600017P15Rik,0,0,0
1600019K03Rik,0,0,0
1600020E01Rik,79,245,86
1600023N17Rik,7,4,1
1600025M17Rik,0,0,0
1600027J07Rik,0,0,0
1600029O15Rik,3,20,6
1700001C02Rik,0,0,0
1700001C19Rik,0,0,0
1700001D01Rik,0,2,3
1700001F09Rik,0,0,0
1700001G01Rik,0,0,0
1700001G11Rik,2,2,1
1700001G17Rik,5,0,1
1700001J03Rik,0,2,0
1700001J04Rik,0,0,0
1700001J11Rik,0,0,0
1700001K19Rik,0,0,0
1700001L05Rik,0,1,0
1700001L19Rik,0,0,0
1700001N15Rik,0,0,0
1700001O22Rik,8,23,0
1700001P01Rik,0,2,1
1700003C15Rik,0,0,0
1700003D09Rik,0,0,0
1700003E16Rik,0,1,0
1700003E24Rik,0,0,0
1700003F12Rik,0,0,0
1700003G13Rik,0,0,0
1700003G18Rik,0,0,0
1700003H04Rik,0,0,0
1700003I16Rik,0,0,0
1700003I22Rik,0,0,0
1700003L19Rik,0,0,0
1700003M07Rik,0,0,0
1700003N22Rik,0,0,0
1700003P14Rik,0,0,0
1700006A11Rik,0,0,0
1700006E09Rik,0,0,0
1700006F04Rik,0,0,0
1700006H21Rik,0,0,0
1700006J14Rik,0,0,0
1700006P03Rik,0,0,0
1700007E05Rik,0,0,0
1700007F19Rik,0,0,0
1700007G11Rik,0,0,0
1700007J10Rik,0,2,0
1700007K09Rik,0,0,1
1700007K13Rik,0,0,0
1700007L15Rik,10,17,10
1700007M16Rik,0,0,0
1700007P06Rik,0,0,0
1700008A23Rik,0,0,0
1700008B11Rik,0,0,0
1700008C04Rik,0,0,0
1700008H02Rik,0,1,0
1700008J07Rik,2,11,4
1700008K24Rik,0,0,0
1700008N11Rik,0,0,0
1700008O03Rik,0,0,0
1700008P02Rik,0,1,0
1700009C05Rik,0,0,0
1700009J07Rik,0,0,0
1700009N14Rik,0,0,0
1700010B08Rik,0,0,0
1700010B13Rik,0,0,0
1700010D01Rik,0,0,0
1700010H22Rik,0,0,0
1700010I02Rik,0,0,0
1700010I14Rik,27,41,24
1700010J16Rik,0,0,0
1700010K23Rik,0,0,0
1700010K24Rik,0,2,0
1700010L04Rik,0,0,0
1700010N08Rik,0,0,0
1700011B04Rik,0,0,0
1700011C11Rik,0,0,0
1700011D18Rik,0,0,0
1700011H14Rik,0,1,1
1700011I03Rik,0,0,0
1700011L03Rik,0,0,0
1700011L22Rik,0,0,0
1700011M02Rik,0,0,0
1700012A03Rik,0,0,0
1700012B07Rik,0,0,0
1700012B09Rik,0,0,0
1700012C08Rik,0,0,0
1700012C14Rik,0,0,0
1700012D14Rik,26,71,45
1700012D16Rik,0,0,0
1700012E03Rik,0,0,0
1700012I11Rik,0,0,0
1700012J15Rik,0,0,0
1700012J22Rik,0,0,0
1700012P22Rik,0,0,0
1700013A02Rik,0,0,0
1700013D24Rik,0,0,0
1700013F07Rik,0,0,0
1700013G24Rik,0,0,0
1700013H16Rik,0,0,0
1700013M08Rik,0,0,0
1700013N06Rik,0,0,0
1700014D04Rik,0,0,0
1700014F14Rik,0,0,0
1700014L14Rik,0,0,0
1700015C15Rik,0,0,0
1700015C17Rik,0,0,0
1700015F17Rik,0,0,0
1700015G11Rik,0,0,0
1700015I17Rik,0,0,0
1700015O11Rik,0,0,0
1700016A09Rik,2,0,0
1700016B01Rik,0,0,0
1700016B15Rik,0,0,0
1700016C15Rik,0,0,0
1700016D06Rik,0,1,0
1700016D08Rik,0,0,0
1700016F12Rik,0,0,0
1700016G14Rik,0,0,0
1700016G22Rik,0,0,0
1700016H13Rik,0,3,0
1700016J18Rik,0,0,0
1700016K19Rik,1,1,0
1700016L21Rik,0,0,2
1700016P03Rik,5,0,0
1700016P04Rik,0,0,0
1700017B05Rik,61,216,97
1700017D01Rik,0,1,0
1700017G19Rik,0,2,0
1700017I07Rik,0,0,0
1700017J07Rik,0,0,0
1700017L05Rik,0,0,0
1700017M07Rik,0,0,0
1700017N19Rik,0,0,0
1700018A04Rik,0,0,0
1700018A14Rik,0,0,0
1700018A23Rik,2,0,1
1700018B08Rik,0,0,0
1700018B24Rik,0,0,0
1700018F24Rik,0,0,0
1700018G05Rik,0,0,0
1700018L02Rik,5,20,7
1700018M17Rik,0,1,0
1700018P08Rik,0,0,0
1700019A02Rik,1,1,0
1700019A23Rik,0,0,0
1700019C18Rik,7,12,13
1700019D03Rik,1,0,0
1700019E08Rik,0,0,0
1700019F05Rik,0,0,0
1700019G24Rik,0,0,0
1700019J19Rik,0,0,0
1700019M22Rik,0,0,0
1700019N19Rik,0,0,0
1700019P21Rik,0,0,0
1700020A23Rik,0,0,0
1700020D05Rik,0,0,0
1700020D12Rik,0,0,0
1700020G03Rik,0,0,0
1700020G17Rik,0,0,0
1700020I14Rik,564,1294,638
1700020L24Rik,2,8,1
1700020M21Rik,0,0,0
1700020N01Rik,0,0,0
1700020N15Rik,0,0,0
1700020N18Rik,0,2,0
1700021A07Rik,10,28,10
1700021F02Rik,0,0,0
1700021F05Rik,43,72,34
1700021F07Rik,0,0,0
1700021F13Rik,0,0,0
1700021G15Rik,0,0,0
1700021J08Rik,0,2,1
1700021L23Rik,0,0,0
1700021N21Rik,0,0,0
1700021P04Rik,0,0,0
1700022A21Rik,0,0,0
1700022A22Rik,0,0,0
1700022E09Rik,0,0,0
1700022H01Rik,0,0,0
1700022H16Rik,0,0,0
1700022I11Rik,0,0,0
1700022N22Rik,0,6,4
1700023C21Rik,0,0,0
1700023F02Rik,0,0,0
1700023F06Rik,0,0,0
1700023G09Rik,0,3,0
1700023H06Rik,2,6,2
1700024B05Rik,0,0,0
1700024B18Rik,0,0,0
1700024G13Rik,0,0,0
1700024I08Rik,0,0,0
1700024J04Rik,0,0,0
1700024P04Rik,0,0,0
1700025A08Rik,0,0,0
1700025B11Rik,0,0,0
1700025C18Rik,0,0,0
1700025D23Rik,0,0,0
1700025F22Rik,0,0,0
1700025F24Rik,0,0,0
1700025G04Rik,29,45,32
1700025H01Rik,0,0,0
1700025J12Rik,0,0,0
1700025K04Rik,0,0,0
1700025K24Rik,0,0,0
1700025L06Rik,0,0,0
1700025M24Rik,0,3,0
1700025N21Rik,0,9,2
1700025N23Rik,0,0,0
1700025O08Rik,0,0,0
1700026D11Rik,6,6,0
1700026F02Rik,0,0,0
1700026J12Rik,0,0,0
1700026J14Rik,0,0,0
1700027A07Rik,0,4,0
1700027A15Rik,0,0,0
1700027F06Rik,0,0,0
1700027F09Rik,6,10,0
1700027H10Rik,1,0,0
1700027I24Rik,0,0,0
1700027J07Rik,0,0,0
1700028B04Rik,0,0,0
1700028D13Rik,0,0,0
1700028E10Rik,53,37,47
1700028I16Rik,0,0,0
1700028J19Rik,0,5,1
1700028K03Rik,2,11,1
1700028M03Rik,0,0,0
1700028N14Rik,3,4,4
1700028P14Rik,0,0,0
1700028P15Rik,0,0,0
1700029B22Rik,0,0,0
1700029B24Rik,0,0,0
1700029E06Rik,0,0,0
1700029F12Rik,0,0,0
1700029H14Rik,1,0,0
1700029I15Rik,5,9,2
1700029J03Rik,0,0,0
1700029J07Rik,17,19,24
1700029M03Rik,0,0,0
1700029M20Rik,0,0,0
1700029N11Rik,0,0,0
1700029P11Rik,0,0,0
1700030A11Rik,0,0,0
1700030C10Rik,0,14,2
1700030C12Rik,0,0,0
1700030C14Rik,0,0,0
1700030E10Rik,0,0,0
1700030F04Rik,0,0,0
1700030I03Rik,0,0,0
1700030J22Rik,0,2,0
1700030K09Rik,24,54,20
1700030L20Rik,0,0,0
1700030L22Rik,0,0,0
1700030M09Rik,0,1,0
1700030N03Rik,0,0,0
1700030N18Rik,0,0,0
1700030O20Rik,0,0,0
1700031A10Rik,0,0,0
